query,style,event,budget
show me pink blazer in smart casual style for office around 6000,smart_casual,office,mid
"looking for formal wear for gym, affordable",formal,gym,low
find white jeans for travel with a mid budget and minimal look,minimal,travel,mid
show me black heels in smart casual style for wedding cheap,smart_casual,wedding,low
need a minimal shirt suitable for daily wear and below 2500,minimal,daily_wear,low
find green shirt for beach with a mid budget and minimal look,minimal,beach,mid
recommend smart casual outfit for travel in pink below 2500,smart_casual,travel,low
find black jacket for gym with a low budget and athleisure look,athleisure,gym,low
show me black sneakers in smart casual style for travel below 2500,smart_casual,travel,low
show me red saree in formal style for gym high end,formal,gym,high
recommend athleisure outfit for date night in red under 15000,athleisure,date_night,high
find blue dress for date night with a high budget and formal look,formal,date_night,high
find blue jeans for wedding with a low budget and boho look,boho,wedding,low
show me green blazer in formal style for date night budget friendly,formal,date_night,low
"looking for formal wear for date night, designer",formal,date_night,high
find pink kurta for office with a high budget and smart casual look,smart_casual,office,high
show me white shirt in boho style for wedding high end,boho,wedding,high
"looking for minimal wear for gym, quality for price",minimal,gym,mid
"looking for smart casual wear for office, below 2500",smart_casual,office,low
find red heels for office with a mid budget and athleisure look,athleisure,office,mid
recommend minimal outfit for gym in green budget friendly,minimal,gym,low
recommend smart casual outfit for beach in green cheap,smart_casual,beach,low
need a minimal shirt suitable for date night and under 15000,minimal,date_night,high
need a athleisure heels suitable for daily wear and high end,athleisure,daily_wear,high
"looking for formal wear for travel, luxury",formal,travel,high
show me black jeans in casual style for wedding below 2500,casual,wedding,low
find green jeans for office with a mid budget and smart casual look,smart_casual,office,mid
find red dress for beach with a high budget and athleisure look,athleisure,beach,high
need a smart casual kurta suitable for wedding and mid range,smart_casual,wedding,mid
need a minimal dress suitable for beach and under 7000,minimal,beach,mid
find red jeans for party with a high budget and streetwear look,streetwear,party,high
need a casual blazer suitable for office and under 7000,casual,office,mid
recommend minimal outfit for travel in pink under 15000,minimal,travel,high
"looking for smart casual wear for travel, affordable",smart_casual,travel,low
"looking for athleisure wear for beach, affordable",athleisure,beach,low
recommend minimal outfit for travel in navy premium,minimal,travel,high
need a minimal sneakers suitable for gym and around 6000,minimal,gym,mid
show me beige saree in streetwear style for office luxury,streetwear,office,high
show me pink saree in smart casual style for travel quality for price,smart_casual,travel,mid
"looking for streetwear wear for gym, designer",streetwear,gym,high
show me blue kurta in minimal style for wedding designer,minimal,wedding,high
show me blue sneakers in smart casual style for wedding designer,smart_casual,wedding,high
recommend streetwear outfit for gym in pink budget friendly,streetwear,gym,low
"looking for minimal wear for travel, under 7000",minimal,travel,mid
"looking for formal wear for daily wear, cheap",formal,daily_wear,low
recommend minimal outfit for date night in blue below 2500,minimal,date_night,low
find blue heels for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
recommend ethnic outfit for wedding in black quality for price,ethnic,wedding,mid
need a streetwear blazer suitable for wedding and premium,streetwear,wedding,high
show me navy saree in athleisure style for date night quality for price,athleisure,date_night,mid
"looking for casual wear for party, designer",casual,party,high
recommend streetwear outfit for office in red luxury,streetwear,office,high
show me green saree in minimal style for wedding below 2500,minimal,wedding,low
need a casual jacket suitable for travel and quality for price,casual,travel,mid
show me blue jeans in ethnic style for daily wear quality for price,ethnic,daily_wear,mid
"looking for streetwear wear for party, premium",streetwear,party,high
"looking for boho wear for beach, mid range",boho,beach,mid
show me black shirt in casual style for office premium,casual,office,high
need a athleisure shirt suitable for daily wear and quality for price,athleisure,daily_wear,mid
"looking for streetwear wear for office, mid range",streetwear,office,mid
show me white kurta in boho style for date night budget friendly,boho,date_night,low
need a formal jeans suitable for daily wear and affordable,formal,daily_wear,low
need a ethnic blazer suitable for date night and quality for price,ethnic,date_night,mid
show me black dress in smart casual style for gym under 3000,smart_casual,gym,low
recommend smart casual outfit for wedding in white under 3000,smart_casual,wedding,low
show me navy sneakers in streetwear style for daily wear under 7000,streetwear,daily_wear,mid
show me beige heels in boho style for office quality for price,boho,office,mid
recommend formal outfit for office in blue budget friendly,formal,office,low
need a smart casual shirt suitable for travel and designer,smart_casual,travel,high
find green jacket for date night with a mid budget and formal look,formal,date_night,mid
show me black blazer in athleisure style for wedding below 2500,athleisure,wedding,low
find blue jacket for daily wear with a high budget and athleisure look,athleisure,daily_wear,high
show me navy blazer in ethnic style for office under 15000,ethnic,office,high
show me green shirt in athleisure style for daily wear budget friendly,athleisure,daily_wear,low
need a streetwear kurta suitable for gym and under 15000,streetwear,gym,high
"looking for smart casual wear for gym, high end",smart_casual,gym,high
need a casual blazer suitable for office and under 15000,casual,office,high
show me beige jeans in formal style for daily wear mid range,formal,daily_wear,mid
find white jeans for date night with a mid budget and streetwear look,streetwear,date_night,mid
find beige jacket for beach with a mid budget and smart casual look,smart_casual,beach,mid
show me black saree in casual style for beach under 7000,casual,beach,mid
show me beige jacket in minimal style for party designer,minimal,party,high
find navy kurta for daily wear with a mid budget and streetwear look,streetwear,daily_wear,mid
recommend formal outfit for beach in black designer,formal,beach,high
find black shirt for gym with a high budget and minimal look,minimal,gym,high
show me red sneakers in boho style for date night below 2500,boho,date_night,low
find beige jeans for party with a mid budget and athleisure look,athleisure,party,mid
